name,latitude,longitude
Iaai,-20.41666667,166.5833333
Iatmul,-4.25,143.25
Iau,-3.166666667,137.5
Iban,2,112
Ibanag,17.5,121.6666667
Ibibio,5.25,7.833333333
Icelandic,65,-17
Icelandic Sign Language,65,-18
Idoma,6.916666667,7.5
Idu,29.33333333,95.83333333
Iduna,-9.333333333,150.25
Ifira-Mele,-17.75,168.25
Batad Ifugao,16.83333333,121.0833333
Ifumu,-3.666666667,15.33333333
Igbo,6,7.333333333
Igede,7,8.166666667
Ignaciano,-15.16666667,-65.41666667
Iha,-2.916666667,132.25
Kolokuma Ijo,4.916666667,5.666666667
Ik,3.75,34.16666667
Ika,10.66666667,-73.75
Ila,-15.58333333,26.5
Illinois,40,-90
Ilocano,16,121
Imonda,-3.333333333,141.1666667
Inanwatan,-2.083333333,132.0833333
Indian dialects Indo-Pakistani Sign Language,24,80
Karachi dialect Indo-Pakistani Sign Language,28,68
Indonesian,0,106
Jakarta Indonesian,-6.166666667,106.75
Papuan Indonesian,-2.5,140.6666667
Inga,1,-77
Ingessana,11.5,34
Ingush,43.16666667,45.08333333
Innamincka,-27.75,140.75
International Sign,40,-170
